default,student,balance,income
No,Yes,889.67,36886.85
No,No,1733.73,62124.99
No,Yes,887.93,36143.01
Yes,No,1335.0,26905.97
No,No,1932.4,27844.96
No,No,1381.17,34050.56
No,No,2063.64,61108.0
No,No,2560.93,76230.2
No,No,1501.95,20993.96
No,No,1642.14,43075.07
No,No,1717.77,88261.58
No,No,1321.33,22625.23
No,Yes,1318.59,22723.72
No,Yes,1124.38,28151.71
No,Yes,1051.74,48215.75
No,Yes,1597.19,76932.68
No,No,864.92,42342.48
Yes,No,1647.61,40415.91
No,Yes,2256.3,11253.46
No,No,1766.5,28698.63
No,No,1346.29,17249.3
No,No,1263.28,23462.16
No,No,2037.01,60608.18
No,No,1739.21,22203.28
No,Yes,1234.8,85764.63
No,No,1171.25,59290.01
No,No,1396.27,51946.2
No,Yes,1689.88,64766.64
No,No,1915.93,46917.87
No,Yes,1674.64,38696.36
No,No,1915.72,30039.39
No,Yes,1159.7,58906.13
No,Yes,1615.98,28669.13
No,Yes,2205.18,57553.02
No,No,1689.21,44837.52
No,No,1317.06,63955.66
No,No,1185.1,49269.24
No,No,1545.07,36931.79
No,No,2325.52,50449.59
No,Yes,1453.36,49461.54
No,No,1353.52,64552.61
No,Yes,1260.8,48727.93
No,No,1626.06,39274.63
No,No,1906.57,47191.32
No,No,1624.08,38287.69
No,Yes,2040.4,34109.0
No,No,1098.42,28786.11
No,No,1814.25,57260.94
No,No,2442.66,52000.86
No,No,1431.78,36237.76
No,No,1043.07,33575.77
No,No,1073.34,54862.62
No,No,1403.14,47873.76
No,No,2031.23,41568.47
No,No,1856.35,50569.92
No,Yes,1378.28,49860.91
No,No,1576.19,46304.36
No,Yes,2060.56,35585.79
No,No,1524.92,29553.76
No,No,1799.26,27845.78
No,Yes,2096.79,66092.65
No,No,1503.5,26020.23
No,No,902.88,18005.0
No,No,1174.12,68704.48
No,No,1801.82,36447.32
No,No,2160.64,73760.44
No,Yes,1157.28,54136.79
No,No,2209.72,26515.04
No,No,1255.71,49965.96
No,No,1628.61,64596.04
No,Yes,1854.0,39879.34
No,No,1093.9,17731.39
No,Yes,2037.1,46349.42
No,No,940.04,49953.06
No,Yes,1672.82,70993.61
No,No,1778.93,39857.96
No,No,1979.45,39356.32
No,No,703.7,33565.63
No,Yes,1255.1,70257.97
No,No,1764.41,37932.44
No,No,1939.26,76881.71
No,No,1262.26,46445.9
No,No,1748.56,51093.12
No,Yes,2316.38,85089.6
No,No,1674.45,48343.71
No,No,1928.1,19896.17
No,No,1658.63,61759.17
No,No,1842.48,47794.81
No,No,1536.34,47246.42
No,Yes,1093.5,83611.15
No,No,1376.57,54931.35
No,No,1357.48,78021.01
No,Yes,1737.97,24768.56
No,Yes,2306.23,59159.35
No,No,1451.31,59249.29
No,No,358.38,59205.71
No,Yes,1417.29,47812.19
No,Yes,1772.76,42006.62
No,Yes,1457.67,55248.55
No,Yes,1158.84,22629.54
No,No,1641.98,33513.0
No,No,1071.28,55487.23
Yes,No,972.65,49867.8
No,No,1773.91,68270.37
No,Yes,1306.21,64373.16
No,No,1968.17,65571.65
No,No,1593.0,35488.12
No,No,1422.55,46144.14
No,No,2523.28,47745.93
No,No,1357.64,47726.61
No,No,1463.5,22946.51
No,No,1961.18,48611.81
No,No,1767.55,51628.44
No,No,1979.73,47178.77
No,No,1346.39,47068.76
No,No,1763.79,30875.69
No,No,1641.55,39943.09
No,Yes,1644.72,63254.64
No,No,1579.6,54967.41
No,No,1024.85,56912.3
No,Yes,968.33,33647.28
No,No,1936.63,55094.71
No,No,1363.75,35853.15
No,No,809.61,51638.85
No,No,1608.63,12347.44
No,No,1588.16,34524.17
No,No,1621.91,42564.59
No,No,865.11,72350.26
No,Yes,1342.22,58449.91
No,No,2065.85,52256.7
No,No,1400.24,52101.7
No,No,1353.82,55737.5
No,No,1912.78,63745.26
No,Yes,1589.97,43061.74
No,Yes,1336.62,67668.56
No,No,1904.75,39319.83
No,No,1634.55,37517.5
No,Yes,1129.88,21664.64
Yes,No,2320.38,33037.73
No,Yes,825.32,26331.85
No,Yes,1281.5,48124.23
Yes,No,1872.82,47984.56
No,No,1412.79,47205.91
No,Yes,1663.8,37506.91
No,No,1825.69,43239.96
No,Yes,962.01,45485.05
No,No,450.6,25626.05
No,No,1024.52,57343.41
No,No,1333.29,22078.48
No,No,1658.9,32286.74
No,No,1393.24,29715.83
No,Yes,1187.12,22730.91
No,No,2159.43,43791.28
No,Yes,1731.07,22651.67
No,No,1106.71,75045.94
No,No,1221.01,74798.82
No,No,1288.06,33316.59
No,Yes,1694.78,58666.39
No,No,2019.79,45778.92
No,No,1191.84,53855.01
Yes,No,836.54,46721.46
No,No,1104.16,58190.15
No,No,1158.58,43022.41
No,No,1394.36,42814.25
No,No,1653.14,16770.16
No,No,1969.83,46116.85
No,No,1485.71,57947.35
No,No,1318.41,42444.82
No,No,1473.55,19548.09
Yes,Yes,1014.43,34694.52
No,No,1313.93,70908.14
No,No,1135.25,39765.32
No,No,1636.62,21484.83
No,No,1737.34,47952.15
No,Yes,932.94,49134.5
No,No,1699.02,51945.89
No,Yes,1401.7,38825.29
No,No,1188.51,91044.18
No,No,1124.86,43883.48
No,No,1210.31,37247.0
No,Yes,1441.43,33992.42
No,Yes,1777.26,30386.24
No,Yes,2030.5,48805.59
No,No,1885.27,32384.73
No,Yes,1710.94,37351.88
No,No,862.0,30662.4
No,Yes,1781.82,36198.0
No,No,1143.76,33655.72
No,No,2229.15,43212.58
Yes,No,1598.75,34977.54
No,No,1602.16,46505.77
No,Yes,850.41,27908.75
No,No,1963.86,53756.65
Yes,No,1238.8,40376.71
No,Yes,1676.8,39006.02
No,Yes,2168.22,71289.35
No,No,940.59,62915.26
No,Yes,1539.03,64582.81
No,No,1849.58,31906.38
No,No,2023.66,12169.05
No,No,1807.28,54891.85
No,Yes,1822.26,53359.53
No,Yes,1900.83,53660.76
No,No,1628.06,42768.71
No,No,1995.79,45552.94
No,Yes,1614.02,38297.41
No,No,1543.76,48824.8
No,No,1181.62,40329.48
Yes,No,1456.07,51819.14
No,No,1340.53,64174.57
Yes,Yes,1834.51,47166.14
No,No,1710.98,48368.21
No,Yes,1051.91,27317.88
No,No,1566.63,39777.31
No,No,1043.0,36086.49
No,No,1555.53,39620.53
No,No,2136.56,44292.58
No,No,1135.44,55138.05
No,No,1986.44,40195.52
No,No,2233.42,44643.32
No,No,1449.54,23757.73
No,No,1301.57,38200.91
No,No,2008.19,42190.92
No,No,1038.48,16549.89
No,No,1219.51,63462.8
No,Yes,1935.17,47927.86
No,No,1398.71,62651.82
No,No,1152.7,47812.31
No,No,1341.14,42179.21
No,Yes,1393.06,33691.88
No,No,1367.72,56124.22
No,No,1529.07,61797.87
No,No,1519.74,59684.9
No,No,635.0,45076.68
No,No,1532.2,37590.09
No,Yes,1536.81,53870.18
No,No,1794.59,37727.6
No,No,1214.13,59395.15
No,No,1408.65,50442.63
No,No,1384.78,40087.83
No,Yes,1172.89,49210.51
No,No,1429.66,65215.58
Yes,No,911.46,34958.12
No,No,1853.64,60507.11
No,No,1556.39,58221.69
Yes,Yes,1107.22,24912.31
No,No,1386.69,50965.36
No,No,1766.66,31303.49
No,Yes,1877.14,47382.31
No,No,1503.24,31600.74
No,No,1165.57,54195.07
No,No,1074.04,25887.38
No,Yes,1355.85,82704.34
No,Yes,1695.28,62753.58
Yes,No,831.86,60206.41
No,Yes,1193.09,-18497.47
No,No,1112.98,30665.86
No,No,1290.39,32803.38
No,No,1188.27,29625.65
No,No,1617.19,53971.49
No,Yes,1455.4,47756.57
No,Yes,1440.34,77455.81
No,No,1022.31,47801.39
No,No,1835.63,54145.88
No,Yes,1530.5,51849.02
No,Yes,2158.03,22575.84
No,Yes,1262.83,60759.08
No,No,1761.91,-1439.43
No,Yes,2267.03,38352.52
No,Yes,1578.28,19991.71
No,No,1611.65,39768.94
No,No,1495.39,45525.55
No,No,1237.29,59007.33
No,No,1369.67,57104.43
No,Yes,1506.0,72384.31
No,No,1460.56,57081.91
No,No,1315.25,47480.38
No,No,1131.86,58919.86
No,No,804.8,36233.93
No,No,1682.49,11470.18
No,No,2190.78,31238.69
No,No,1626.1,33354.06
No,No,1400.06,70108.7
No,No,961.78,22747.24
No,No,1733.28,22323.08
No,No,1136.41,19997.56
No,Yes,1135.3,70691.12
No,No,1884.78,29478.54
No,No,1823.83,35971.79
No,No,1301.25,48774.09
No,No,935.32,32706.24
No,Yes,1125.79,67266.62
Yes,No,1590.72,64868.05
No,No,1285.77,12008.89
No,Yes,1398.24,51850.62
No,No,1657.63,75877.89
No,No,1852.66,51327.4
No,No,1159.66,38101.17
No,No,1495.52,23592.62
No,No,1556.75,53979.31
No,No,1480.79,66174.24
No,Yes,1491.56,27387.47
No,No,2225.06,39368.83
No,No,1660.43,62101.5
No,No,1168.19,45970.21
Yes,No,1480.91,32062.41
No,No,1111.46,63869.4
No,No,2221.54,39360.27
No,No,1320.49,41000.54
No,Yes,1746.65,54989.66
No,No,1883.97,79321.26
No,Yes,635.37,39607.84
Yes,No,1812.63,23195.9
No,No,970.38,27586.98
No,No,1825.26,43082.32
No,No,1781.61,39956.41
No,No,1470.39,60516.07
No,No,1794.24,29610.66
No,No,1417.68,39988.71
No,Yes,1565.35,21306.86
No,No,1074.48,61788.03
No,Yes,1418.24,60109.14
No,No,1610.44,57624.65
No,No,1440.02,77202.35
No,No,2256.28,53416.96
No,No,1279.41,35407.65
No,Yes,1279.52,8331.55
Yes,No,1153.56,41531.83
No,Yes,1794.74,44653.21
No,Yes,1642.67,24154.3
Yes,No,2323.21,66611.52
No,Yes,2151.06,72355.39
No,No,1471.32,48492.66
No,No,2506.41,79003.29
No,Yes,924.23,46153.33
No,No,1714.43,24316.38
Yes,Yes,1717.68,58260.98
No,No,1534.3,56901.09
No,Yes,1996.79,61261.59
No,Yes,885.06,41044.0
No,No,1507.0,38744.27
No,No,1229.59,60372.12
No,Yes,1663.16,63335.77
No,No,1624.98,68057.71
No,No,1533.28,47583.59
No,No,892.78,23026.44
No,No,2274.05,49684.54
No,No,1467.41,35805.94
No,No,1437.86,46150.56
No,No,1443.34,65390.31
No,No,1486.39,48044.75
No,Yes,1198.86,52908.02
No,No,1276.53,73712.36
No,No,1472.26,34787.6
No,No,1636.01,13852.28
No,No,1941.41,32422.23
No,No,1244.38,46685.2
No,No,1751.7,74594.89
No,Yes,653.37,72232.56
No,Yes,1471.04,36922.45
No,Yes,1692.54,31851.57
No,No,1033.53,56690.1
No,No,1980.13,46044.44
No,No,2002.46,46607.19
No,No,1341.28,38562.4
Yes,No,2055.89,64485.54
No,Yes,1743.93,35546.38
No,No,1522.71,46634.56
No,No,1824.78,31392.62
No,No,1315.87,51164.86
No,No,1481.91,43462.49
No,Yes,2047.95,46482.38
No,No,1038.08,63549.45
No,Yes,1682.23,51100.15
No,No,1351.8,55881.04
No,No,1608.0,66649.59
No,No,1393.13,43014.7
No,No,1650.03,52906.17
No,No,2192.63,53689.32
No,Yes,1079.58,40635.57
No,No,1300.92,29671.88
No,No,2045.53,36053.69
No,Yes,1027.37,42634.92
No,No,1485.47,84088.14
No,No,973.38,54340.65
No,No,1260.22,22203.56
No,No,1664.86,54612.03
No,No,689.07,62963.93
No,No,1494.85,63853.1
No,No,1726.85,30783.78
No,No,1589.41,49612.54
No,No,1409.92,41329.14
No,No,2061.75,52415.59
No,No,2178.88,55236.29
No,No,1534.12,34681.27
No,No,1104.79,45394.51
No,No,1426.2,64932.93
No,No,1677.04,41123.18
No,No,1535.87,36875.56
No,No,1119.88,36700.65
No,Yes,1330.11,74520.29
No,Yes,1304.18,31568.89
No,No,1518.18,28822.07
No,Yes,1541.81,43585.64
No,No,1770.69,30274.09
No,No,1236.54,71567.43
No,Yes,1385.25,45946.14
No,Yes,1436.44,27000.37
No,Yes,1746.1,46660.38
No,No,1787.5,65767.9
No,No,1595.9,30285.84
No,Yes,1813.65,53656.31
No,Yes,1836.11,69998.37
No,No,1974.73,57270.5
No,No,1481.66,37775.63
No,No,1359.51,24563.87
No,Yes,1659.54,30735.96
No,No,1520.85,34390.12
No,Yes,1155.38,17032.53
No,No,1122.49,42514.55
No,No,1642.44,55297.94
No,No,1579.15,32994.59
No,Yes,2106.83,50598.2
No,No,1693.74,56932.32
No,No,1359.95,29861.84
No,No,1162.19,50954.61
No,No,1618.27,25770.95
No,No,1650.61,39458.66
No,No,2210.81,69144.05
No,No,1788.6,46344.45
No,No,481.81,16430.93
No,No,1425.15,42676.81
No,Yes,1392.25,49346.51
No,Yes,1738.3,29159.82
No,Yes,1639.52,45187.06
No,No,1664.02,51413.29
Yes,No,1626.19,38350.43
No,No,1025.97,40547.92
No,No,1153.58,38534.72
No,No,2035.44,41328.16
No,No,1698.3,50979.92
No,Yes,1394.75,67756.3
No,No,2057.17,36478.92
No,No,906.67,49659.54
Yes,No,1477.65,44399.28
No,Yes,1309.69,46806.93
No,No,1906.77,39476.37
No,No,1202.82,56039.52
No,No,1398.94,37872.41
No,No,1257.48,46967.48
No,No,1013.41,46266.42
No,Yes,1629.88,22782.2
No,No,1057.93,47099.56
No,Yes,1631.04,26505.8
No,Yes,1413.86,18872.44
No,No,883.46,55957.16
No,Yes,1234.28,39571.59
Yes,No,1045.65,53675.18
No,Yes,1660.27,22959.68
No,No,1642.42,26878.66
No,Yes,2303.97,87502.17
No,Yes,1078.83,58975.16
No,No,1334.36,59744.94
No,No,1663.48,60388.6
No,Yes,2072.57,16360.47
No,No,1675.73,46064.53
No,No,1030.32,46295.16
No,No,747.82,28327.55
No,No,1780.31,48811.02
No,No,980.58,31470.48
No,No,1000.32,34718.08
No,Yes,1598.87,42071.31
No,Yes,1481.5,51117.51
No,No,858.07,28460.86
No,Yes,1629.65,38643.42
No,No,1240.47,77398.76
No,No,870.32,42043.44
No,No,1968.7,46766.89
No,No,1554.28,42935.19
No,No,1125.16,51071.65
No,Yes,1262.08,27108.66
No,No,2349.59,56824.38
No,No,1920.08,48473.84
No,No,2016.84,51275.08
No,No,1517.34,64238.73
No,No,1955.67,37481.82
No,No,1917.16,61591.95
No,Yes,1582.4,36348.43
No,No,1835.07,43646.93
No,No,2348.36,51737.55
No,No,1835.04,63278.24
No,Yes,1204.1,26195.82
No,Yes,1526.18,31014.65
No,Yes,1648.13,50345.68
No,No,1491.88,38645.74
No,Yes,1699.74,57496.82
No,Yes,1337.39,37280.9
No,No,826.49,19401.61
No,No,2061.67,54218.64
No,Yes,2318.94,33484.81
No,No,2165.14,42838.6
No,No,1800.6,26998.43
No,Yes,1526.38,31029.36
No,No,480.98,31714.25
No,Yes,1811.49,40286.89
No,No,1993.88,29225.78
Yes,No,1987.29,56041.11
No,No,830.4,46901.27
No,No,1848.11,44140.52
No,No,2029.25,36692.51
No,No,1098.13,26335.65
Yes,No,1931.64,45472.5
No,No,1420.04,53940.8
No,No,1279.17,45676.85
No,No,1141.63,39238.7
No,Yes,432.22,45090.21
No,Yes,670.14,49716.04
No,No,1993.47,37157.05
No,Yes,1527.82,20788.18
No,No,1382.62,65503.19
No,Yes,1057.03,71966.66
No,No,1549.92,19794.86
No,No,1158.17,47305.48
No,Yes,1329.44,45854.97
No,No,1509.38,39334.73
No,Yes,1655.49,70564.6
No,No,1846.96,31748.81
No,No,1369.11,51395.32
No,Yes,1863.51,55820.51
No,No,1862.34,34289.89
No,No,2058.11,54112.87
No,No,1670.55,37850.88
Yes,No,1971.65,58659.52
No,No,1331.16,69391.97
No,Yes,1287.1,31526.98
No,No,1839.98,72917.16
No,No,2193.41,4716.21
No,No,1558.05,64340.24
No,No,1185.97,64771.81
No,No,1003.99,48509.87
No,No,1627.72,43340.82
No,No,1444.95,31897.37
No,No,1063.79,43379.42
No,No,2381.19,60133.47
No,No,1109.94,34338.78
No,Yes,1200.7,33274.33
No,No,1413.01,12630.31
No,Yes,2379.61,44593.16
No,No,1117.14,40916.76
No,No,752.39,28890.33
No,No,2126.14,41658.17
No,No,2438.94,53530.7
No,No,1660.89,35724.34
No,No,1775.8,36126.66
No,No,1809.15,57572.42
No,Yes,959.6,53956.97
No,No,1617.95,63509.03
No,No,1531.55,43094.57
No,No,1726.15,48493.92
No,No,1194.43,46360.87
No,Yes,882.18,45029.61
No,No,1760.21,54459.22
No,No,1789.09,37496.12
No,No,1217.42,61324.26
No,No,1048.85,28321.42
No,Yes,1406.85,50116.1
No,No,2056.7,60837.4
No,No,1555.15,52598.54
No,No,1280.46,26676.74
No,Yes,1206.14,39980.97
No,No,1736.63,36399.35
No,No,867.17,27065.19
No,No,2591.24,63080.14
No,No,792.48,25438.2
No,No,1529.03,62920.12
No,No,1810.19,24695.03
No,Yes,1745.86,42099.79
Yes,No,1480.2,67652.97
No,No,919.13,52324.47
No,No,1119.14,70387.94
No,No,1336.19,39921.55
No,No,1337.3,60899.9
No,No,1712.12,63122.17
No,No,1655.55,41643.71
No,No,1221.53,33791.81
No,No,1208.39,35172.91
No,Yes,1552.42,42995.38
No,No,1579.78,39628.24
No,Yes,1638.4,38929.21
No,No,1477.09,36369.04
No,No,1389.79,51109.63
No,Yes,997.67,37260.03
No,No,1324.42,38461.85
No,No,1514.13,46401.9
No,No,1599.2,44443.31
No,Yes,785.79,44484.6
No,No,921.2,18046.54
No,No,1767.18,39214.95
No,Yes,1506.15,25031.18
No,No,1539.77,28509.34
No,No,1925.21,62889.62
No,No,1246.32,32972.25
No,No,1312.29,42892.58
No,No,1724.31,54227.75
No,No,2025.34,61149.15
No,No,1670.65,47626.42
No,No,1774.75,20517.49
No,No,1302.45,46172.59
No,No,2135.46,44996.11
No,No,1987.8,30899.49
No,No,2054.16,6126.6
No,No,1084.28,44845.66
No,No,552.5,46638.26
No,Yes,1992.21,41385.89
No,No,1685.9,54044.63
No,No,1616.03,18391.66
No,No,1362.36,54365.54
No,No,1449.64,41107.97
No,No,838.29,45372.9
No,Yes,1748.79,47230.51
No,No,2059.08,77617.5
No,No,1541.4,60270.08
No,No,1359.11,40557.91
No,No,1251.72,68024.15
No,No,1933.13,64958.44
No,No,1491.7,42996.6
No,No,1176.65,60771.67
No,No,1552.3,71190.38
No,No,1917.56,22441.33
No,No,914.03,52559.55
No,No,1055.22,45249.67
No,No,1398.12,46506.12
No,Yes,1612.05,54660.87
No,No,1855.11,59967.38
No,No,1940.91,62914.68
No,Yes,1528.15,72129.03
No,Yes,1357.39,42455.28
No,Yes,1878.43,38558.42
No,No,1759.87,85598.56
No,No,1751.77,88001.08
No,Yes,1504.64,47549.39
No,Yes,1481.43,57651.85
No,Yes,1557.5,30920.68
No,No,1326.99,61462.29
No,No,1484.67,15347.72
No,No,1508.53,49342.57
No,No,1578.35,44312.12
No,No,832.07,31622.36
No,Yes,624.4,55935.36
No,No,1267.41,44351.37
No,No,1601.5,57338.94
No,No,2168.85,48666.98
No,No,1634.72,77694.42
No,No,1036.49,45206.94
Yes,No,2080.73,33309.26
No,No,1685.49,48438.82
No,No,1297.23,27915.38
No,No,1062.02,51822.37
No,Yes,1356.69,40694.35
No,No,461.59,14484.96
No,No,994.13,58495.65
No,No,1149.54,63266.21
No,No,1752.74,36802.19
No,No,1249.64,28237.67
No,No,1267.31,37617.68
No,No,1393.43,60151.38
No,No,1838.98,55602.03
No,Yes,1569.93,49936.02
No,No,1693.06,48903.48
No,No,1577.31,45912.62
No,No,1510.83,36292.86
No,No,1354.23,34738.65
No,No,1693.96,57961.52
No,No,1525.33,30585.24
No,No,2296.2,48246.98
No,No,1403.51,12823.99
Yes,No,1419.09,26957.63
No,Yes,1367.08,51675.1
No,No,2120.13,29001.12
No,No,2426.17,43513.48
No,No,2046.42,49212.48
No,Yes,1741.3,28460.79
No,No,1685.02,21913.91
No,No,524.95,33104.82
No,No,1521.45,22672.12
No,No,1363.11,49793.28
No,No,1191.48,34605.16
No,No,1925.03,50115.04
No,No,1780.17,37957.12
No,No,812.28,38043.98
No,No,2013.5,40094.96
No,Yes,1490.85,34296.04
No,No,2103.79,31667.06
No,No,1819.2,73358.14
No,Yes,1712.19,66439.07
No,Yes,2059.02,70302.4
No,Yes,1423.23,53737.14
No,No,1397.79,47252.14
No,No,1363.35,24665.88
Yes,No,1689.2,81985.53
No,No,1752.66,58808.11
No,No,1203.81,59949.33
No,No,1780.4,62292.56
No,Yes,1573.09,30836.37
No,Yes,1597.13,41645.0
No,Yes,1515.56,47265.36
No,No,1820.78,45982.31
No,No,1871.96,67302.21
No,No,1992.49,29912.84
No,No,1571.53,53075.4
No,No,2608.12,35240.64
No,Yes,1810.61,37910.96
No,No,1080.84,57361.53
No,No,2073.58,63326.84
No,No,1555.61,39918.74
Yes,No,1753.99,50105.62
No,Yes,1202.68,39581.47
No,No,2097.9,45463.34
No,No,1741.13,49044.05
No,Yes,1590.78,39750.88
No,No,1136.21,42646.55
Yes,No,1509.86,54760.03
No,No,1802.87,68791.62
No,No,1400.89,50466.01
No,No,1824.65,50649.71
No,Yes,980.04,45108.02
No,Yes,2215.58,60572.71
No,Yes,1387.42,54044.69
No,No,729.77,35922.6
